industry_id,num_firms,roc,reinvestment_rate,expected_growth_ebit,vintage_id,region_id
1,52,0.2772269074749548,-0.20502082103706407,-0.05683728818408143,1,1
2,79,0.16012360749257398,0.6791726169949143,0.10875156954339793,1,1
3,23,0.07929312533704834,0.8375441324988381,0.06641149187353979,1,1
4,35,0.15768515602445898,0.3147357131772605,0.049629150038825696,1,1
5,33,0.022474128513756082,-0.38556790821030457,-0.008665302719898493,1,1
6,35,0.08975948273328078,0.38991609265032834,0.03499866678567546,1,1
7,15,,0.049849161250959236,,1,1
8,568,,,,1,1
9,14,0.15744765776572892,0.22017927986497438,0.03466671190328513,1,1
10,27,0.2902563541349132,0.3393378251123354,0.09849495993717726,1,1
11,24,0.14567294791803095,1.8876238158055407,0.2749757258086754,1,1
12,32,,,,1,1
13,41,0.20164568716545334,0.38226087278009907,0.07708125636820902,1,1
14,155,0.28297691435712685,0.44385905738871967,0.12560186646932278,1,1
15,9,0.12062120565621212,-0.06823876146449355,-0.00823104168033388,1,1
16,29,0.037245953068641535,1.5865275072547198,0.059091729077318134,1,1
17,4,0.040542644509719825,-0.45735482683522954,-0.01854237415918518,1,1
18,59,0.10949443918503624,0.51614040151385,0.056514503804498434,1,1
19,16,-0.04759627013362316,,,1,1
20,64,0.26348563236851774,0.4440778108641379,0.11700812281636438,1,1
21,36,0.4476035274383902,0.21368899754474255,0.09564794907580026,1,1
22,40,0.16706062867511484,0.6300761309589157,0.10526091455118045,1,1
23,20,0.14821356557111473,0.1826562870176915,0.02707213957287297,1,1
24,496,0.03525374326558564,-0.45020504417500956,-0.01587141304421743,1,1
25,228,0.16949548287090127,0.09997397021658551,0.016945136356381264,1,1
26,32,0.15944153901851482,0.23524495902130976,0.03750781831270508,1,1
27,112,0.15595603913111394,0.5468269978345046,0.08528097267222756,1,1
28,8,-0.0834551474050309,,,1,1
29,114,0.17911725405258233,0.7717649554371149,0.13823641959190958,1,1
30,48,0.2531760347582192,1.1244004774956353,0.2846712543725932,1,1
31,92,0.12420599801084616,-0.15551247254089462,-0.019315581855076123,1,1
32,53,0.31754796538384716,1.2140192826751521,0.3855093531502522,1,1
33,35,0.07277942934792668,0.5261218871200917,0.03829085071205457,1,1
34,176,,0.14141047544330232,,1,1
35,78,0.15949707214923414,0.3277257304883673,0.05227129448086358,1,1
36,13,0.17837019301943033,0.8133778016934007,0.1450823554857718,1,1
37,27,0.1058742891265975,1.400632775995067,0.1482909994858906,1,1
38,15,0.036367416094179386,0.6381961322283143,0.023209544290443033,1,1
40,204,0.16980778635574598,0.45993629154938714,0.07810076353267242,1,1
41,104,0.3119296654846798,0.5071460718638532,0.1581939045483611,1,1
39,115,0.13716783348113318,0.12116668188545907,0.016620171244326083,1,1
42,30,0.1490812879349228,0.3102881169932895,0.04625815211226161,1,1
43,31,0.22163970318779982,0.33909534063860475,0.07515699065150623,1,1
44,63,0.14575119045322596,0.2537482328832064,0.03698410701812975,1,1
45,110,0.34419837512001855,0.07757640989499602,0.02670167423350216,1,1
46,15,0.2217430042193927,-0.2678902088965883,-0.059402779721690176,1,1
47,21,0.4450609958826383,3.242072539208152,1.4429200330237342,1,1
48,20,0.1076576568830416,0.0531386403080186,0.00572078150551203,1,1
49,57,0.18488979223477825,0.02004685115969638,0.003706458145877787,1,1
50,283,0.14253207300518655,1.310653356484875,0.18681013989099501,1,1
51,105,0.24408325788322105,0.3432570745381548,0.08378330504473647,1,1
52,73,0.2704361776786952,0.3240321753052389,0.0876300229344617,1,1
53,14,0.18260160203320722,0.32291643070222387,0.05896505756907122,1,1
54,4,0.0844906040235468,0.08394892143738739,0.007092895079370137,1,1
55,142,0.13731095270967508,1.0047519443561985,0.13796344671644806,1,1
56,23,0.12351055159122301,0.9963382714100507,0.12305828947330102,1,1
57,97,0.11937951003115008,0.3218336130235796,0.03842033903430969,1,1
58,19,0.14816927195835602,0.9395850663597047,0.13921763522546107,1,1
59,6,0.1041420566237548,0.4428777043889832,0.04612219496787603,1,1
60,46,0.06921872420290816,1.3095343770177144,0.09064429887701632,1,1
61,56,0.25451637862422194,0.29453368157161064,0.07496364601646607,1,1
62,19,0.17632773244458913,0.024902842363282593,0.004391061725342673,1,1
63,190,0.03203080280639824,-0.5756977397647453,-0.018440060778493726,1,1
64,14,0.07043355884782262,-0.4661687857371448,-0.032833926603235204,1,1
65,12,0.05194923071492735,0.9657439214915322,0.05016965378910229,1,1
66,54,0.059426974075348735,0.9759756594486397,0.057999280212225696,1,1
67,49,0.08024512691065157,0.056629490290082345,0.004544240635213168,1,1
68,1,0.10144338115914428,0.3089932998182829,0.03134532508908782,1,1
69,64,0.18360436293768279,0.37613202647005795,0.06905948110049463,1,1
70,34,0.12190476293616061,0.461778096222205,0.05629294934907946,1,1
71,14,0.3494656524485739,0.7351554799221606,0.2569115894421423,1,1
72,62,0.1611399066695283,1.522067587834988,0.24526582904844405,1,1
73,23,0.13590825384807578,0.9396593445508252,0.12770746072993006,1,1
74,15,0.06763219560214334,-0.986095767319352,-0.06669182181778804,1,1
75,26,0.051639531083079775,-0.6131931990634106,-0.03166500926296812,1,1
76,94,0.21539093465658196,0.3836540602643476,0.08263560662513046,1,1
77,3,0.03168147259457092,0.3864725146795398,0.012244018382374749,1,1
78,66,0.27226966835133587,0.3528579818500374,0.09607252569343137,1,1
79,31,0.28404463068412095,0.27453102170954213,0.07797906267282129,1,1
80,8,0.11992332943837858,0.36708062720816004,0.04402153098713081,1,1
81,11,0.20929696659653424,0.1910578706044996,0.039987832761914914,1,1
82,77,0.2701916640773067,0.8236394230364615,0.22254050630989433,1,1
83,29,0.034347801967415575,14.14213936786985,0.4857514024031853,1,1
84,309,0.2931842949283384,0.7377874473291637,0.21630769255217946,1,1
85,19,0.06720259161412713,2.1148871304839734,0.14212589613988766,1,1
86,12,0.10372019614469251,0.16420320614543388,0.01703118874899178,1,1
87,57,0.2547374909112715,0.4660719333859651,0.11872599489490603,1,1
88,39,0.12036566743047672,0.1195448837923946,0.014389099725570354,1,1
89,10,0.6307780350577148,0.023804720412749773,0.015015494767052575,1,1
90,19,0.1300079849084052,0.5150479409503609,0.0669603449341797,1,1
91,4,0.14236959522310544,0.20077787407250486,0.02858466466145815,1,1
92,26,0.0929945748076969,0.9871253630575415,0.09179730341942952,1,1
93,14,0.05994651585116697,1.7230109546789445,0.10328850350639568,1,1
94,14,0.08955910414193033,1.6217760551676135,0.14524481061964525,1,1
